species_id,sci_name,main_common_name,order,family,genus,specific_epithet,type_kind,type_voucher,extracted_voucher_prefix,candidate_prefix_to_research,type_locality,type_voucher_uris,extinct,domestic
1000002,Tachyglossus_aculeatus,Short-beaked Echidna,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,syntypes,untraced (number not known),UNTRACED,UNTRACED," “New Holland [= Sydney]”, New South Wales, Australia.",,False,False
1000017,Chironectes_minimus,Water Opossum,Didelphimorphia,Didelphidae,Chironectes,minimus,holotype,untraced (number not known),UNTRACED,UNTRACED,"""Gujana."" Restricted by A. Cabrera in 1958 to ""Cayenne, French Guiana.""",,False,False
1000023,Didelphis_virginiana,Virginia Opossum,Didelphimorphia,Didelphidae,Didelphis,virginiana,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Virginia, Louisiana, Mexico, Brasil, and Peru."" Restricted by J. A. Allen in 1901 to ""Virginia.""",,False,False
1000024,Lutreolina_crassicaudata,Big Lutrine Opossum,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,syntypes,untraced (number not known),UNTRACED,UNTRACED,"type locality not given. Restricted by A. Cabrera in 1958 to ""Asunción,"" Paraguay.",,False,False
1000034,Philander_quica,Southern Four-eyed Opossum,Didelphimorphia,Didelphidae,Philander,quica,lectotype,specimen collected by Natterer,SPECIMEN,SPECIMEN,"Sepetiba, near Rio de Janeiro, Brazil.",,False,False
1000063,Monodelphis_americana,Northern Three-striped Opossum,Didelphimorphia,Didelphidae,Monodelphis,americana,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Brasilien."" Restricted by A. Cabrera in 1958 to ""Pernambuco"" (= Recife), Pernambuco, Brazil.",,False,False
1000150,Dasyurus_maculatus,Spotted-tailed Quoll,Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Port Jackson, New South Wales, Australia.",,False,False
1000152,Dasyurus_viverrinus,Eastern Quoll,Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Sydney, New South Wales, Australia.",,False,False
1000189,Phascogale_tapoatafa,Common Brush-tailed Phascogale,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,holotype,lost (number not known),LOST,LOST,"Sydney, New South Wales, Australia.",,False,False
1000219,Myrmecobius_fasciatus,Numbat,Dasyuromorphia,Myrmecobiidae,Myrmecobius,fasciatus,holotype,untraced (number not known),UNTRACED,UNTRACED,"""interior of the Swan River settlement, about 90 miles to the S.E. of the mouth of that River,"" Western Austra­lia, Australia.",,False,False
1000220,Thylacinus_cynocephalus,Thylacine,Dasyuromorphia,Thylacinidae,Thylacinus,cynocephalus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Tasmania, Australia.",,True,False
1000226,Echymipera_kalubu,Common Spiny Bandicoot,Peramelemorphia,Peramelidae,Echymipera,kalubu,holotype,lost (number not known),LOST,LOST,"""In insula Waigeo,"" (= Waigeo Island, Sorong Division, Papua Province, Indonesia).",,False,False
1000303,Petrogale_penicillata,Brush-tailed Rock Wallaby,Diprotodontia,Macropodidae,Petrogale,penicillata,holotype,untraced (number not known),UNTRACED,UNTRACED,"Sydney, New South Wales, Australia.",,False,False
1000313,Thylogale_brunii,Dusky Pademelon,Diprotodontia,Macropodidae,Thylogale,brunii,holotype,lost (number not known),LOST,LOST,"Aru Islands, West Papua, Indonesia.",,False,False
1000279,Notamacropus_dorsalis,Black-striped Wallaby,Diprotodontia,Macropodidae,Notamacropus,dorsalis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"No type locality given. Identified by T. Iredale and E. Le G. Troughton in 1934 as ""probably interior (Namoi Hills), New South Wales, Australia.""",,False,False
1000317,Wallabia_bicolor,Swamp Wallaby,Diprotodontia,Macropodidae,Wallabia,bicolor,holotype,untraced (number not known),UNTRACED,UNTRACED,no type locality given.,,False,False
1000342,Petaurus_australis,Yellow-bellied Glider,Diprotodontia,Petauridae,Petaurus,australis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Sydney, New South Wales, Australia.",,False,False
1000346,Petaurus_norfolcensis,Squirrel Glider,Diprotodontia,Petauridae,Petaurus,norfolcensis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Sydney, New South Wales, Australia.",,False,False
1000351,Petauroides_volans,Southern Greater Glider,Diprotodontia,Pseudocheiridae,Petauroides,volans,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""New South Wales,"" Australia.",,False,False
1000387,Phalanger_orientalis,Northern Common Cuscus,Diprotodontia,Phalangeridae,Phalanger,orientalis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Amboyna"" (= Ambon Island, Moluccas, Indonesia).",,False,False
1000394,Spilocuscus_maculatus,Common Spotted Cuscus,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,holotype,lost (number not known),LOST,LOST,"""Les Moluques"" (= Moluccas, Indonesia).",,False,False
1000402,Trichosurus_vulpecula,Common Brush-tailed Possum,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Botany Bay [= Sydney],"" New South Wales, Australia.",,False,False
1000404,Phascolarctos_cinereus,Koala,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"New South Wales, Australia.",,False,False
1000407,Vombatus_ursinus,Common Wombat,Diprotodontia,Vombatidae,Vombatus,ursinus,holotype,untraced (number not known),UNTRACED,UNTRACED,"""New Holland [= Australia].""",,False,False
1000416,Cabassous_tatouay,Greater Naked-tailed Armadillo,Cingulata,Chlamyphoridae,Cabassous,tatouay,nonexistent,lost (number not known),LOST,LOST,"type locality not given. Identified by A. Cabrera in 1958 as ""27 de lat. sur. [= 27° S],"" Paraguay.",,False,False
1000417,Cabassous_unicinctus,Amazon Naked-tailed Armadillo,Cingulata,Chlamyphoridae,Cabassous,unicinctus,lectotype,"Seba pl. 30, fig. 3",SEBA,SEBA,"""Africa."" Corrected by G. L. L. Buffon in 1763 to ""l'Amérique."" Restricted by O. Thomas in 1911 to Suriname, South America.",,False,False
1000424,Dasypus_novemcinctus,Southern Long-nosed Armadillo,Cingulata,Dasypodidae,Dasypus,novemcinctus,lectotype,Marcgrave's figured specimen,MARCGRAVE'S,MARCGRAVE'S,"""in America meridionali."" Restricted by A. Cabrera in 1958 to Pernambuco, Brazil.",,False,False
1000433,Choloepus_didactylus,Linnaeus's Two-toed Sloth,Pilosa,Choloepodidae,Choloepus,didactylus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""in Zeylona."" Corrected by O. Thomas in 1911 to Suriname.",,False,False
1000517,Hemicentetes_semispinosus,Lowland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Madagascar.""",,False,False
1000518,Setifer_setosus,Greater Hedgehog Tenrec,Afrosoricida,Tenrecidae,Setifer,setosus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Madagascar.""",,False,False
1000519,Tenrec_ecaudatus,Tailless Tenrec,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Madagascar.""",,False,False
1000520,Orycteropus_afer,Aardvark,Tubulidentata,Orycteropodidae,Orycteropus,afer,holotype,lost (number not known),LOST,LOST,"Cape of Good Hope, South Africa.",,False,False
1000522,Loxodonta_africana,African Savanna Elephant,Proboscidea,Elephantidae,Loxodonta,africana,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Orange River, South Africa.",,False,False
1000528,Procavia_capensis,Rock Hyrax,Hyracoidea,Procaviidae,Procavia,capensis,nonexistent,lost (number not known),LOST,LOST,"South Africa, Western Cape Prov., Cape of Good Hope.",,False,False
1000529,Dugong_dugon,Dugong,Sirenia,Dugongidae,Dugong,dugon,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Vorgebürge der Guten Hofnung an, bis an die philippinischen Inseln"" (= Cape of Good Hope, South Africa, to the Philippines).",,False,False
1000530,Hydrodamalis_gigas,Steller's Sea Cow,Sirenia,Dugongidae,Hydrodamalis,gigas,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Bering I, Commander Is, Bering Sea.",,True,False
1000532,Trichechus_manatus,West Indian Manatee,Sirenia,Trichechidae,Trichechus,manatus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Mari Americano."" Restricted by Thomas in 1911 to West Indies.",,False,False
1000533,Trichechus_senegalensis,West African Manatee,Sirenia,Trichechidae,Trichechus,senegalensis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Senegal.,,False,False
1000546,Tupaia_glis,Common Treeshrew,Scandentia,Tupaiidae,Tupaia,glis,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Penang [Island],"" Malaysia.",,False,False
1000563,Cercopithecus_ascanius,Red-tailed Monkey,Primates,Cercopithecidae,Cercopithecus,ascanius,holotype,untraced (number not known),UNTRACED,UNTRACED,"no type locality specified. Restricted by A.B. Machado in 1969 to north-west Angola, by the lower Congo River.",,False,False
1000567,Cercopithecus_diana,Diana Monkey,Primates,Cercopithecidae,Cercopithecus,diana,holotype,untraced (number not known),UNTRACED,UNTRACED,Guinea (probably Liberia).,,False,False
1000575,Cercopithecus_mona,Mona Monkey,Primates,Cercopithecidae,Cercopithecus,mona,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Barbary.,,False,False
1000577,Cercopithecus_nictitans,Putty-nosed Monkey,Primates,Cercopithecidae,Cercopithecus,nictitans,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Guinea. Restricted by C. P. Groves in 2005 to Equatorial Guinea, Benito River.",,False,False
1000578,Cercopithecus_petaurista,Spot-nosed Monkey,Primates,Cercopithecidae,Cercopithecus,petaurista,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Guinea.,,False,False
1000580,Cercopithecus_roloway,Roloway Monkey,Primates,Cercopithecidae,Cercopithecus,roloway,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Guinea (West Africa).,,False,False
1000584,Chlorocebus_cynosuros,Malbrouck Monkey,Primates,Cercopithecidae,Chlorocebus,cynosuros,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Democratic Republic of the Congo, Lower Congo, Banana, fixed by E. Schwarz in 1928.",,False,False
1000587,Chlorocebus_sabaeus,Green Monkey,Primates,Cercopithecidae,Chlorocebus,sabaeus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Cape Verde Islands,"" probably Senegal.",,False,False
1000590,Erythrocebus_patas,Common Patas Monkey,Primates,Cercopithecidae,Erythrocebus,patas,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Senegal.,,False,False
1000599,Cercocebus_sanjei,Sanje River Mangabey,Primates,Cercopithecidae,Cercocebus,sanjei,lectotype,male figured and described by Homewood & Rodgers,MALE,MALE,"Tanzania, Sanje Waterfall, Mwanihana Forest.",,False,False
1000600,Cercocebus_torquatus,Red-capped Mangabey,Primates,Cercopithecidae,Cercocebus,torquatus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Ethiopia (= West Africa).,,False,False
1000604,Macaca_assamensis,Assamese Macaque,Primates,Cercopithecidae,Macaca,assamensis,holotype,lost (number not known),LOST,LOST,"India, Assam.",,False,False
1000606,Macaca_fascicularis,Long-tailed Macaque,Primates,Cercopithecidae,Macaca,fascicularis,holotype,lost (number not known),LOST,LOST,"Indonesia, Sumatra, (Bengkulu).",,False,False
1000610,Macaca_leucogenys,White-cheeked Macaque,Primates,Cercopithecidae,Macaca,leucogenys,holotype,photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Gangrigebu (29° 28' 19.73"" N, 95° 49' 25.00"" E), 2410 m, Mêdog County, Tibet [= Xizang], China.",,False,False
1000612,Macaca_mulatta,Rhesus Macaque,Primates,Cercopithecidae,Macaca,mulatta,holotype,lost (number not known),LOST,LOST,"India, based solely on Tawny Monkey, a menagerie animal (presumably observed in London), not preserved, identified by Pennant in 1771. Restricted by R. Pocock in 1932 to ""Nepal Tarai"" (= Terai), the narrow plain that extends along the southern border of Nepal.",,False,False
1000613,Macaca_munzala,Arunachal Macaque,Primates,Cercopithecidae,Macaca,munzala,holotype,photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Zemithang (27° 42' N, 91° 43' E, at 2180 m above sea level), Tawang district, Arunachal Pradesh, India.",,False,False
1000614,Macaca_nemestrina,Southern Pig-tailed Macaque,Primates,Cercopithecidae,Macaca,nemestrina,holotype,lost (number not known),LOST,LOST,Sumatra.,,False,False
1006642,Macaca_selai,Sela Macaque,Primates,Cercopithecidae,Macaca,selai,holotype,Photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"""Nyukmadung (27.4057°N, 92.1332°E), West Kameng district of Arunachal Pradesh, altitude 2016 above sea level.""",,False,False
1000620,Macaca_siberu,Siberut Macaque,Primates,Cercopithecidae,Macaca,siberu,syntypes,lost (number not known),LOST,LOST,"Indonesia, Siberut Island.",,False,False
1000621,Macaca_silenus,Lion-tailed Macaque,Primates,Cercopithecidae,Macaca,silenus,neotype,specimen figured by Buffon,SPECIMEN,SPECIMEN,"""Ceylon."" Corrected by J. Fooden in 1975 to India, Western Ghats, inland from Malabar coast.",,False,False
1000622,Macaca_sinica,Toque Macaque,Primates,Cercopithecidae,Macaca,sinica,holotype,untraced (number not known),UNTRACED,UNTRACED,no type locality.,,False,False
1000623,Macaca_sylvanus,Barbary Macaque,Primates,Cercopithecidae,Macaca,sylvanus,syntypes,lost (number not known),LOST,LOST,Barbary Coast.,,False,False
1000629,Papio_cynocephalus,Yellow Baboon,Primates,Cercopithecidae,Papio,cynocephalus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Africa. Restricted by J. A. Allen in 1925 to ""Kenya, inland from Mombasa.""",,False,False
1000630,Papio_hamadryas,Hamadryas Baboon,Primates,Cercopithecidae,Papio,hamadryas,holotype,untraced (number not known),UNTRACED,UNTRACED,Egypt.,,False,False
1000633,Papio_ursinus,Chacma Baboon,Primates,Cercopithecidae,Papio,ursinus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"South Africa, Western Cape Province, Cape of Good Hope.",,False,False
1000634,Rungwecebus_kipunji,Kipunji,Primates,Cercopithecidae,Rungwecebus,kipunji,holotype,Photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Rungwe-Livingstone (09° 07' S to 09° 11' S and 33° 40' E to 33° 55' E), Southern Highlands, Tanzania.",,False,False
1000660,Presbytis_bicolor,Black-and-white Langur,Primates,Cercopithecidae,Presbytis,bicolor,holotype,LSNSAU SD 16,LSNSAU,LSNSAU,"Batang Kering 0° 50' S, 101° 23' E, 14 km north of Kiliranjao, West Sumatra.",,False,False
1000688,Semnopithecus_entellus,Bengal Sacred Langur,Primates,Cercopithecidae,Semnopithecus,entellus,nonexistent,lost (number not known),LOST,LOST,"India, Bengal.",http://coldb.mnhn.fr/catalognumber/mnhn/zm/2005-957,False,False
1000691,Semnopithecus_johnii,Nilgiri Langur,Primates,Cercopithecidae,Semnopithecus,johnii,holotype,lost (number not known),LOST,LOST,"India, Tellicherry.",,False,False
1000694,Semnopithecus_vetulus,Purple-faced Langur,Primates,Cercopithecidae,Semnopithecus,vetulus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Ceylon (= Sri Lanka).,,False,False
1000707,Trachypithecus_leucocephalus,White-headed Langur,Primates,Cercopithecidae,Trachypithecus,leucocephalus,lectotype,figured specimen,FIGURED,FIGURED,"Fusui County, Guangxi, China.",,False,False
1000709,Trachypithecus_mauritius,West Javan Langur,Primates,Cercopithecidae,Trachypithecus,mauritius,holotype,lost (number not known),LOST,LOST,"""Mauritius,"" probably W Java. Restricted by D. Brandon-Jones in 1995 to Jasinga.",,False,False
1000720,Pan_troglodytes,Chimpanzee,Primates,Hominidae,Pan,troglodytes,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Angola.,,False,False
1000722,Pongo_pygmaeus,Bornean Orangutan,Primates,Hominidae,Pongo,pygmaeus,holotype,lost (number not known),LOST,LOST,"Indonesia, Kalimantan, Landak River.",,False,False
1000755,Alouatta_arctoidea,Ursine Red Howler,Primates,Atelidae,Alouatta,arctoidea,nonexistent,lost (number not known),LOST,LOST,"Venezuela. Restricted by Cabrera in 1957 to the valley of Aragua, state of Aragua, near Caracas.",http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1477,False,False
1000756,Alouatta_belzebul,Eastern Red-handed Howler,Primates,Atelidae,Alouatta,belzebul,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Brazil. Restricted by O. Thomas in 1911 to Pernambuco, Brazil, and subsequently restricted by A. Cabrera in 1957 to the Rio Capim, eastern Pará.",,False,False
1000759,Alouatta_guariba,Brown Howler,Primates,Atelidae,Alouatta,guariba,nonexistent,lost (number not known),LOST,LOST,"Brazil. Restricted by Cabrera in 1957 to the Rio Paraguaçú, Bahia.",,False,False
1000765,Alouatta_seniculus,Colombian Red Howler,Primates,Atelidae,Alouatta,seniculus,lectotype,specimen collected by Jacquin in Cartagena,SPECIMEN,SPECIMEN,"Cartagena, department of Bolívar, Colombia.",,False,False
1000768,Ateles_chamek,Black Spider Monkey,Primates,Atelidae,Ateles,chamek,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Peru. Restricted by Kellogg and E. Goldman in 1944 to the Río Comberciato, affluent of the Río Urubamba, Cuzco, Peru.",,False,False
1000773,Ateles_paniscus,Red-faced Black Spider Monkey,Primates,Atelidae,Ateles,paniscus,lectotype,untraced (number not known),UNTRACED,UNTRACED,"South America, Brazil. Restricted by É. Geoffroy Saint-Hilaire in 1803 to French Guiana.",,False,False
1000774,Brachyteles_arachnoides,Southern Muriqui,Primates,Atelidae,Brachyteles,arachnoides,nonexistent,lost (number not known),LOST,LOST,Brazil. Restricted by C. Vieira in 1944 to Rio de Janeiro.,http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1475,False,False
1000776,Lagothrix_flavicauda,Yellow-tailed Woolly Monkey,Primates,Atelidae,Lagothrix,flavicauda,syntypes,lost (number not known),LOST,LOST,"Peru, banks of the Amazon. Restricted by J. Fooden in 1963 to Puca Tambo, 1550 m, 80 km east of Chachapoyas, San Martín.",,False,False
1000777,Lagothrix_lagothricha,Common Woolly Monkey,Primates,Atelidae,Lagothrix,lagothricha,holotype,lost (number not known),LOST,LOST,"Colombia, Río Guaviare, above the mouth of the Río Amanaveni, Guainía.",,False,False
1000782,Callithrix_jacchus,Common Marmoset,Primates,Callitrichidae,Callithrix,jacchus,nonexistent,lost (number not known),LOST,LOST,"America. Restricted by O. Thomas in 1911 to Brazil, Pernambuco.",,False,False
1000784,Callithrix_penicillata,Black-tufted-ear Marmoset,Primates,Callitrichidae,Callithrix,penicillata,holotype,lost (number not known),LOST,LOST,"Brazil. Restricted by O. Thomas in 1911 to Lamarão, near Salvador, Bahia.",http://coldb.mnhn.fr/catalognumber/mnhn/zm/2007-1513,False,False
1000790,Leontopithecus_rosalia,Golden Lion Tamarin,Primates,Callitrichidae,Leontopithecus,rosalia,holotype,lost (number not known),LOST,LOST,"Brazil. Restricted by A. P. M. Wied-Neuwied in 1826 to the coast between 22° S and 23° S, from the Cabo de São Tomé to the municipality of Mangaratiba, and further restricted by C. Carvalho in 1965 to the right bank of the Rio São João, Rio de Janeiro State.",,False,False
1000809,Saguinus_fuscus,Lesson's Saddle-back Tamarin,Primates,Callitrichidae,Saguinus,fuscus,syntypes,lost (number not known),LOST,LOST,"""Plaines de Mocoa,"" the lowlands of the Mocoa district, between the ríos Putumayo and Caquetá, Putumayo, Colombia.",,False,False
1000819,Saguinus_midas,Midas Tamarin,Primates,Callitrichidae,Saguinus,midas,nonexistent,lost (number not known),LOST,LOST,America. Restricted by J. C. D. von Schreber in 1775 to Suriname.,,False,False
1000824,Saguinus_oedipus,Cotton-top Tamarin,Primates,Callitrichidae,Saguinus,oedipus,holotype,lost (number not known),LOST,LOST,"America. Restricted by A. Humboldt in 1812 to Colombia, and further restricted by P. Hershkovitz in 1949 to the lower Rio Sinú, Córdoba, Colombia.",,False,False
1000831,Cebus_capucinus,White-faced Capuchin,Primates,Cebidae,Cebus,capucinus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Colombia. Restricted by E. A. Goldman in 1914 to northern Colombia.,,False,False
1000843,Sapajus_apella,Brown Capuchin,Primates,Cebidae,Sapajus,apella,holotype,untraced (number not known),UNTRACED,UNTRACED,"""America."" Restricted by É. Geoffroy Saint-Hilaire in 1812 to ""Cayenne, French Guiana.""",,False,False
1000847,Sapajus_nigritus,Black-horned Capuchin,Primates,Cebidae,Sapajus,nigritus,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Serra dos Orgãos, Rio de Janeiro, Brazil.",,False,False
1000848,Sapajus_robustus,Crested Capuchin,Primates,Cebidae,Sapajus,robustus,syntypes,untraced (number not known),UNTRACED,UNTRACED,"Morro da Arara, north of the Rio Mucuri, Minas Gerais, Brazil.",,False,False
1000851,Saimiri_cassiquiarensis,Humboldt's Squirrel Monkey,Primates,Cebidae,Saimiri,cassiquiarensis,holotype,lost (number not known),LOST,LOST,"Río (Caño) Cassiquiare, Amazonas, Venezuela.",,False,False
1000862,Callicebus_personatus,Masked Titi,Primates,Pitheciidae,Callicebus,personatus,holotype,lost (number not known),LOST,LOST,holotype was lost in the early 19th century and the type locality is unknown. Restricted by P. Hershkovitz in 1990 to the lower Rio Doce Basin in the Brazilian state of Espírito Santo.,,False,False
1000864,Cheracebus_lugens,White-chested Titi,Primates,Pitheciidae,Cheracebus,lugens,holotype,lost (number not known),LOST,LOST,"vicinity of San Fernando de Atabapo, at the confluence of the ríos Orinoco and Guaviare, Amazonas, Venezuela.",,False,False
1000898,Chiropotes_chiropotes,Rio Negro Bearded Saki,Primates,Pitheciidae,Chiropotes,chiropotes,holotype,lost (number not known),LOST,LOST,"Upper Rio Orinoco south of the cataracts, Amazonas, Venezuela.",,False,False
